mode,N,threads,rep,time,ups
seq,1000,1,1,3.00004,9955.87
seq,1000,1,2,3,10134
seq,1000,1,3,3.00005,10010.5
seq,1000,1,4,3.00006,9865.12
seq,1000,1,5,3.00006,10183.5
seq,1000,1,6,3.00005,9980.84
seq,1000,1,7,3.00004,10176.9
seq,1000,1,8,3.00001,9879.96
seq,1000,1,9,3.00009,9922.69
seq,1000,1,10,3.00001,9946.96
omp,1000,1,1,3.00005,9954.49
omp,1000,1,2,3.00007,10107.1
omp,1000,1,3,3.00009,9994.38
omp,1000,1,4,3.00009,10002.4
omp,1000,1,5,3.00008,10080.7
omp,1000,1,6,3.00008,9153.41
omp,1000,1,7,3.00004,10040.5
omp,1000,1,8,3.00001,9171.31
omp,1000,1,9,3.00008,9792.75
omp,1000,1,10,3.00004,9697.21
omp,1000,2,1,3.00004,18204.1
omp,1000,2,2,3.00002,18986.5
omp,1000,2,3,3.00003,18698.1
omp,1000,2,4,3.00003,19046.2
omp,1000,2,5,3.00001,18668.3
omp,1000,2,6,3.00003,18821.1
omp,1000,2,7,3.00005,19019
omp,1000,2,8,3,18638
omp,1000,2,9,3.00003,18811.8
omp,1000,2,10,3.00002,18848.2
omp,1000,4,1,3.00003,27592.7
omp,1000,4,2,3.00001,30284.9
omp,1000,4,3,3.00003,26410.4
omp,1000,4,4,3.00001,28201.9
omp,1000,4,5,3.00003,26240.4
omp,1000,4,6,3,29328.6
omp,1000,4,7,3.00001,28881.2
omp,1000,4,8,3.00007,26999
omp,1000,4,9,3.00003,27315.7
omp,1000,4,10,3.00001,28442.3
omp,1000,8,1,3.00001,24534.9
omp,1000,8,2,3,25546.7
omp,1000,8,3,3.00003,25101.4
omp,1000,8,4,3.00002,25040.2
omp,1000,8,5,3.00002,25663.5
omp,1000,8,6,3.00003,24547.8
omp,1000,8,7,3.00002,25762.5
omp,1000,8,8,3.00006,24867.2
omp,1000,8,9,3.00003,22976.8
omp,1000,8,10,3.00002,26095.8
seq,5000,1,1,3.00011,1478.61
seq,5000,1,2,3.00008,1856.62
seq,5000,1,3,3.00043,1879.06
seq,5000,1,4,3.00034,1874.12
seq,5000,1,5,3.00001,1927.33
seq,5000,1,6,3.0002,1910.54
seq,5000,1,7,3.00003,1914.64
seq,5000,1,8,3.0003,1932.8
seq,5000,1,9,3.00015,1915.57
seq,5000,1,10,3.00042,1932.06
omp,5000,1,1,3.00011,1886.93
omp,5000,1,2,3.00003,1873.65
omp,5000,1,3,3.00035,1886.78
omp,5000,1,4,3.00029,1915.81
omp,5000,1,5,3.00035,1943.44
omp,5000,1,6,3.00007,1918.62
omp,5000,1,7,3.00032,1922.8
omp,5000,1,8,3.00058,1929.62
omp,5000,1,9,3.00031,1904.47
omp,5000,1,10,3.00036,1896.44
omp,5000,2,1,3.00016,3644.47
omp,5000,2,2,3.00008,3509.57
omp,5000,2,3,3.00024,3175.07
omp,5000,2,4,3.00024,3546.71
omp,5000,2,5,3.00003,3669.63
omp,5000,2,6,3.0002,3557.77
omp,5000,2,7,3.00025,3669.02
omp,5000,2,8,3.00026,3608.02
omp,5000,2,9,3.00006,3635.93
omp,5000,2,10,3.00005,3672.61
omp,5000,4,1,3.00006,5813.89
omp,5000,4,2,3.00005,6028.24
omp,5000,4,3,3.00004,5661.92
omp,5000,4,4,3.00012,5475.11
omp,5000,4,5,3.00006,5714.23
omp,5000,4,6,3.00016,5638.37
omp,5000,4,7,3.00013,5612.43
omp,5000,4,8,3.00012,5082.46
omp,5000,4,9,3.00008,4228.23
omp,5000,4,10,3.00002,4683.3
omp,5000,8,1,3.00028,5171.52
omp,5000,8,2,3.00001,5290.65
omp,5000,8,3,3.00001,5624.65
omp,5000,8,4,3.00011,5469.8
omp,5000,8,5,3.0001,5274.15
omp,5000,8,6,3.00005,5674.57
omp,5000,8,7,3.00016,5464.04
omp,5000,8,8,3.00001,5623.31
omp,5000,8,9,3.00014,5404.74
omp,5000,8,10,3.00016,5211.73
seq,10000,1,1,3.00028,910.249
seq,10000,1,2,3.00089,831.42
seq,10000,1,3,3.0005,916.848
seq,10000,1,4,3.00094,946.036
seq,10000,1,5,3.00011,949.633
seq,10000,1,6,3.00058,962.481
seq,10000,1,7,3.00095,948.032
seq,10000,1,8,3.00041,952.536
seq,10000,1,9,3.00079,947.083
seq,10000,1,10,3.00036,956.55
omp,10000,1,1,3.00042,963.532
omp,10000,1,2,3.00022,931.932
omp,10000,1,3,3.00068,969.112
omp,10000,1,4,3.00095,950.698
omp,10000,1,5,3.0005,953.84
omp,10000,1,6,3.00041,964.536
omp,10000,1,7,3.00066,950.459
omp,10000,1,8,3.00052,959.833
omp,10000,1,9,3.00035,958.22
omp,10000,1,10,3.0008,950.081
omp,10000,2,1,3.00039,1820.77
omp,10000,2,2,3.0004,1801.76
omp,10000,2,3,3.00013,1553.93
omp,10000,2,4,3.00027,1621.52
omp,10000,2,5,3.00029,1805.83
omp,10000,2,6,3.00035,1815.79
omp,10000,2,7,3.00007,1808.96
omp,10000,2,8,3.00053,1805.68
omp,10000,2,9,3.00009,1789.94
omp,10000,2,10,3.0001,1826.61
omp,10000,4,1,3.00031,2934.03
omp,10000,4,2,3.00003,2782.97
omp,10000,4,3,3.00021,2954.46
omp,10000,4,4,3.00027,2486.11
omp,10000,4,5,3.00005,2961.28
omp,10000,4,6,3.00012,2628.9
omp,10000,4,7,3.00022,2654.14
omp,10000,4,8,3.00019,2863.49
omp,10000,4,9,3.00031,2929.37
omp,10000,4,10,3.00027,2674.09
omp,10000,8,1,3.00007,2709.61
omp,10000,8,2,3.00007,2681.94
omp,10000,8,3,3.00014,2842.2
omp,10000,8,4,3.00009,2726.58
omp,10000,8,5,3.00012,3041.88
omp,10000,8,6,3.00027,2667.76
omp,10000,8,7,3.00003,2779.98
omp,10000,8,8,3.00004,2762.63
omp,10000,8,9,3.00033,2723.36
omp,10000,8,10,3.0001,2755.58
seq,20000,1,1,3.00065,364.254
seq,20000,1,2,3.00144,468.108
seq,20000,1,3,3.00061,446.243
seq,20000,1,4,3.00128,459.138
seq,20000,1,5,3.00127,472.799
seq,20000,1,6,3.00159,476.415
seq,20000,1,7,3.00076,484.544
seq,20000,1,8,3.00077,480.543
seq,20000,1,9,3.00028,484.955
seq,20000,1,10,3.00191,477.03
omp,20000,1,1,3.00154,477.755
omp,20000,1,2,3.00018,482.304
omp,20000,1,3,3.0017,479.396
omp,20000,1,4,3.0018,487.042
omp,20000,1,5,3.00101,382.538
omp,20000,1,6,3.00098,456.184
omp,20000,1,7,3.00194,478.69
omp,20000,1,8,3.0001,470.651
omp,20000,1,9,3.00097,481.512
omp,20000,1,10,3.00045,468.93
omp,20000,2,1,3.00021,912.269
omp,20000,2,2,3.00055,751.195
omp,20000,2,3,3.001,867.044
omp,20000,2,4,3.00041,882.878
omp,20000,2,5,3.00048,906.521
omp,20000,2,6,3.00074,907.442
omp,20000,2,7,3.0003,898.577
omp,20000,2,8,3.00021,899.936
omp,20000,2,9,3.00107,911.009
omp,20000,2,10,3.00102,904.358
omp,20000,4,1,3.00009,1342.96
omp,20000,4,2,3.00007,1499.3
omp,20000,4,3,3.00068,1384.02
omp,20000,4,4,3.00021,1397.9
omp,20000,4,5,3.00018,1402.25
omp,20000,4,6,3.00008,1351.3
omp,20000,4,7,3.00021,1471.57
omp,20000,4,8,3.00056,1392.41
omp,20000,4,9,3.0003,1308.54
omp,20000,4,10,3.00071,1130.06
omp,20000,8,1,3.00066,1196.07
omp,20000,8,2,3.00027,1312.88
omp,20000,8,3,3.00013,1337.27
omp,20000,8,4,3.00013,1267.95
omp,20000,8,5,3.01832,1370.3
omp,20000,8,6,3.00012,1490.61
omp,20000,8,7,3.00028,1272.21
omp,20000,8,8,3.00046,1367.79
omp,20000,8,9,3.00068,1290.04
omp,20000,8,10,3.00032,1326.86
